Cluster	gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	ReceptorFamily
Gene Cluster 1	ChrSy.fgenesh.gene.25	200.88930146028	0.417045826079304	0.183908288421198	18.5123509657138	9.55199451202517e-05	0.00527028168818507	NA
Gene Cluster 1	LOC_Os01g02310	74.5515682343021	0.832232909818338	0.271174809933682	12.4169431553839	0.00201231077549292	0.0423601827214255	NA
Gene Cluster 1	LOC_Os01g02890	205.105952257565	0.666149177460055	0.340247862881761	12.8491681454943	0.00162120744207565	0.0366172823608875	NA
Gene Cluster 1	LOC_Os01g02930	125.605576535285	0.611394258018083	0.264741717512215	18.3810486933597	0.000102001366605171	0.00549589452902489	NA
Gene Cluster 1	LOC_Os01g03320	10.3023576182287	1.78058744033459	0.843171874838683	20.1865231913001	4.13573006083305e-05	0.00293567131003515	NA
Gene Cluster 1	LOC_Os01g03340	45542.6264552283	1.03033319313785	0.328230927553649	14.1323418389207	0.000853494961180834	0.0237531031597353	NA
Gene Cluster 1	LOC_Os01g03490	574.219412547094	0.315822082265668	0.163267783437204	11.9980483249963	0.002481172216589	0.0482538937451811	NA
Gene Cluster 1	LOC_Os01g03720	164.590492994362	0.771575261845922	0.374585257324778	14.3422636899012	0.000768452469771807	0.0220668112626518	NA
Gene Cluster 1	LOC_Os01g03820	2556.30134120174	0.363316523649069	0.0987610097792563	13.6337285152705	0.00109514965082116	0.0279870576908857	NA
Gene Cluster 1	LOC_Os01g04530	151.794283624668	0.746444955207704	0.220319954798742	12.7970200008539	0.00166403483812851	0.0372943240837191	NA
Gene Cluster 1	LOC_Os01g04540	38.7068373968305	2.43736552335638	0.541263635671938	24.1109761295332	5.81256813617635e-06	0.000742779985695155	NA
Gene Cluster 1	LOC_Os01g04550	45.3599919326068	2.41839247895587	0.499633803073734	32.9224292631836	7.09553783379013e-08	2.59861218927358e-05	NA
Gene Cluster 1	LOC_Os01g04580	1719.28662665407	0.554584324745719	0.185678383275809	14.3445764025048	0.000767564378489694	0.0220663843508926	NA
Gene Cluster 1	LOC_Os01g04710	171.804616839849	0.699985772334184	0.407544211585083	13.9490615538015	0.00093540517817523	0.0253080180433491	NA
Gene Cluster 1	LOC_Os01g04750	54.7664530398649	1.50865552753865	0.324912560023972	22.8355050055203	1.09984907100162e-05	0.00119423446361524	NA
Gene Cluster 1	LOC_Os01g05064	1590.99409808554	0.43455132409491	0.124048636701206	14.0006125638467	0.00091160271535907	0.0247967713854938	NA
Gene Cluster 1	LOC_Os01g07360	95.0664225558963	1.09713363398788	0.405420757403045	13.2485376120625	0.00132775091964051	0.0321074313294887	NA
Gene Cluster 1	LOC_Os01g07450	28.9900766495114	2.7519673434086	0.629470605660936	24.0634729179856	5.95227856869346e-06	0.000748328753387481	NA
Gene Cluster 1	LOC_Os01g07500	698.530948250441	0.79039867878358	0.276686014704665	20.963600722311	2.80421909809677e-05	0.00220755814981014	NA
Gene Cluster 1	LOC_Os01g07560	927.977394925591	0.684615708530361	0.295074285606594	19.3555631420427	6.26603572519241e-05	0.00391937432612901	LRR-RLK
Gene Cluster 1	LOC_Os01g07940	135.772586671509	0.764606389874755	0.217770723541717	22.0160958670415	1.65678260427162e-05	0.00151691653659216	NA
Gene Cluster 1	LOC_Os01g11010	633.150539873814	0.532280919590417	0.307957957996626	12.0361927959841	0.00243429912393656	0.0477138419623704	NA
Gene Cluster 1	LOC_Os01g11550	122.321276412811	0.635600345404811	0.479666498652205	34.0371321966462	4.0637843509966e-08	1.68934344674471e-05	NA
Gene Cluster 1	LOC_Os01g11650	3701.75470449315	0.791266092062842	0.190107524251305	26.7795581207367	1.53070972071125e-06	0.000278280824765275	NA
